Wallet Address,Farm 1,Farm 2,Farm 3,Farm 4,Total ArcX Distribution,ArcX Price,Total USDC
0x7f62fbb8a9e707e44a198584ae2e8db67cefc30a,0.20295,0.18182,0,0,0.38477,2500,961.925
0x2bfe66759f0331066f3e7d57b3dc9a96bfc17927,0.20295,0,0,0,0.20295,2500,507.375
0xea1feb9a9a006a7fc253c6ca87349be0da072f25,0.20295,0,0,0,0.20295,2500,507.375
0x096616c9795018fd78cea3835abb40d2d63afeb9,0.20295,0.18182,0,0,0.38477,2500,961.925
0x6b2809391d6eea98b387e9264f9ec455be2c9370,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x76bbd639c87aac623aad1c3b648e6187a9392dea,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x2c588125082e49ffbb59b0c209654f6cbcf19f6e,0.20295,0.18182,0,0,0.38477,2500,961.925
0x57a0575339b2a3559ee840853bd932050aad9266,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0xe864166688e95618920e32619753e23175f189ce,0.20295,0,0,0,0.20295,2500,507.375
0x0b13f13c0e99f24b96a835b787d1347b33d87776,0.20295,0,0,0,0.20295,2500,507.375
0x4d72a61647afdecd607df768f08e0bdbf4abc85a,0.20295,0,0,0,0.20295,2500,507.375
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,0.20295,0.18182,0,0,0.38477,2500,961.925
0xc5b67f12beaa7b7a106a4eddddc0d88635223915,0.20295,0,0,0,0.20295,2500,507.375
0xeeab357b6583ff64d12045164177546f5c155b45,0.20295,0.18182,0,0,0.38477,2500,961.925
0x9b3f49a186670194f625199b822fcbdfd3feacf7,0.20295,0,0,0,0.20295,2500,507.375
0x35dcf2c2223f335266e17dacbe8777d7c5bf8a15,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x116ab27d13bccae95819b086486b976d3d8d2a3c,0.20295,0,0,0,0.20295,2500,507.375
0xe67e43b831a541c5fa40de52ab0afbe311514e64,0.20295,0,0,0,0.20295,2500,507.375
0x378f16a4c82fedf72d3195d4969fbc9426974657,0.20295,0,0,0,0.20295,2500,507.375
0x3fad91383a64f3ecaa4ef964cffb15fa3ab69d53,0.20295,0,0,0,0.20295,2500,507.375
0x35a77cf58012d4a5f9acf8a65d9de360355d1090,0.20295,0,0,0,0.20295,2500,507.375
0x62c66180c21723d2ebe5c9be61307dd2061c6f2d,0.20295,0,0,0,0.20295,2500,507.375
0xca214150c6df8848b2488f33f2c35f2417265798,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x9b43818e253baed56e14a96d677347a06c77c6c1,0.20295,0,0,0,0.20295,2500,507.375
0x9a1ce61815c2e7cafd55a8ca2f03af7da34b1b84,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0xa9d5676d172f9d1693192ae910c49087dbaa88fb,0.20295,0,0,0,0.20295,2500,507.375
0xebc551a91d951875e570da49541d5a8bed469cf8,0.20295,0.18182,0,0,0.38477,2500,961.925
0x097df964c10a3921133cfca8e70df99d4951c3d3,0.20295,0,0,0,0.20295,2500,507.375
0x9bdfaeb9cb28dc05b09b37c0f14ecbc9a876cee0,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0xf0f32c3c8def7b43caa14fed5752abc5381c8374,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x927054befee8d13bc2dad3a54352874d4cf0ea63,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
